,flux_bias_disshift,phi_ext_disshift,fr_q0,fr_q1,kappa_q0,kappa_q1,kappa_avg,chi,flux_pulse_amp,fr_q0_flux_pulse
135,2.174,0.8136781609195403,5.178112771916809,5.1751047191984565,6.955094604394384,9.219235418426392,8.087165011410388,-1.5040263591768053,-0.02999999999999997,5175434809.455595
136,2.194000000000001,0.815977011494253,5.1781486471536935,5.175254785530898,6.989612457278571,9.37551120353524,8.182561830406906,-1.4469308113980333,-0.02799999999999997,5175349140.489377
137,2.214,0.8182758620689655,5.178184742578506,5.177151866777737,7.084913735532698,9.98513003170697,8.535021883619834,-0.516437900384517,-0.025999999999999968,5175318151.48046
138,2.234,0.8205747126436782,5.178238077849189,5.174955047412094,7.0475188690742145,9.12915487276493,8.088336870919573,-1.6415152185477382,-0.023999999999999966,5175110196.687431
139,2.2539999999999996,0.8228735632183908,5.178248128628099,5.174679091792388,6.965374484777382,8.753625967373704,7.859500226075543,-1.784518417854997,-0.021999999999999964,5174974861.382935
140,2.274,0.8251724137931035,5.178295602384218,5.174631180864785,6.9599545618183996,8.5483529465627,7.75415375419055,-1.8322107597164177,-0.019999999999999962,5174850706.0222025
141,2.2939999999999996,0.827471264367816,5.178314026291593,5.1747494300421435,6.970843393970766,8.720918929640932,7.845881161805849,-1.7822981247250027,-0.01799999999999996,5174687920.575599
142,2.314,0.8297701149425287,5.178361734022492,5.174956054505762,6.931374563887629,9.184374337526629,8.057874450707128,-1.7028397583653714,-0.01599999999999996,5174534073.186526
143,2.3339999999999996,0.8320689655172413,5.178398214963933,5.17552382393299,6.995425993860655,9.74207784011908,8.368751916989869,-1.4371955154711031,-0.013999999999999957,5174331985.864095
144,2.3539999999999988,0.8343678160919539,5.178423948694078,5.178373440489145,6.964473281855232,8.85478074035332,7.909627011104276,-0.025254102466533368,-0.011999999999999955,5174297891.490669
145,2.3739999999999997,0.8366666666666667,5.1784779855008205,5.17663506231897,6.961960715145467,10.227817095296608,8.594888905221037,-0.9214615909254462,-0.010000000000000009,5174076339.758484
146,2.3939999999999992,0.8389655172413792,5.1785000568171,5.175601738076331,6.953822977755757,9.575332273633922,8.26457762569484,-1.4491593703842227,-0.008000000000000007,5173925684.245296
147,2.4139999999999997,0.8412643678160919,5.17853365370001,5.175396914326317,6.9315778498970735,9.491155426726934,8.211366638312004,-1.568369686846836,-0.006000000000000005,5173791660.9051485
148,2.4339999999999997,0.8435632183908046,5.178566141404087,5.175191258966832,6.957892665065461,9.297552821719373,8.127722743392416,-1.687441218627555,-0.0040000000000000036,5173665235.705907
149,2.4539999999999993,0.8458620689655172,5.178616037218415,5.175172571494848,6.96873195288233,9.230571030795785,8.099651491839058,-1.7217328617834937,-0.0020000000000000018,5173594023.083759
150,2.4739999999999998,0.8481609195402299,5.1786310905588975,5.1751695530338315,6.869766824660097,9.22512216238738,8.047444493523738,-1.730768762532989,0.0,5173645048.51068
151,2.4939999999999998,0.8504597701149426,5.1786654638731875,5.175148544640123,6.94616751095635,9.19610943304051,8.071138471998431,-1.7584596165320363,0.0020000000000000018,5173747853.535672
152,2.5140000000000007,0.8527586206896552,5.178740676178002,5.175244936992988,6.929516470249149,9.292557903707166,8.111037186978159,-1.7478695925069587,0.0040000000000000036,5173895327.939677
153,2.534,0.8550574712643677,5.178755419854859,5.174552223367177,6.9274662494940005,8.66347257773562,7.795469413614811,-2.101598243841181,0.006000000000000005,5174028102.9365635
154,2.554,0.8573563218390805,5.178774939810569,5.1743281002301185,6.908841838759907,8.199208615874378,7.554025227317142,-2.223419790225762,0.008000000000000007,5174247793.221998
155,2.5740000000000003,0.8596551724137931,5.178824128238054,5.174756320722309,7.001648333394116,8.729232731359456,7.865440532376786,-2.0339037578723946,0.010000000000000009,5174317262.812709
156,2.5939999999999994,0.8619540229885057,5.17886116805591,5.1753015513827485,6.991626901687353,9.124585663398994,8.058106282543173,-1.7798083365805724,0.01200000000000001,5174489037.019486
157,2.614,0.8642528735632184,5.178881545991453,5.175471202635177,6.919868367163998,9.024519912479972,7.972194139821985,-1.7051716781379582,0.014000000000000012,5174645202.823904
158,2.6340000000000003,0.866551724137931,5.178899603899426,5.1756658904249555,6.955576661870089,9.194691798789943,8.075134230330017,-1.616856737235139,0.016000000000000014,5174792365.728085
159,2.6539999999999995,0.8688505747126436,5.178934197307306,5.175763072738378,6.870627235258919,9.119218917799074,7.9949230765289965,-1.5855622844642312,0.018000000000000016,5174998012.222648
160,2.6740000000000004,0.8711494252873564,5.178974205617327,5.176271944426455,6.914222565761989,9.34161328751091,8.12791792663645,-1.3511305954361887,0.020000000000000018,5175090340.140619
161,2.694,0.873448275862069,5.17900192620859,5.176662238127014,6.866821395077497,9.298860627900092,8.082841011488794,-1.169844040787666,0.02200000000000002,5175973916.379218
162,2.713999999999999,0.8757471264367815,5.179037608854774,5.176937363823475,6.869568243579557,9.208425770885754,8.038997007232656,-1.050122515649491,0.02400000000000002,5175368173.13204
163,2.7339999999999995,0.8780459770114941,5.179048900697665,5.176843399373637,6.885741387328342,8.703322615015653,7.794532001171998,-1.1027506620134773,0.026000000000000023,5175534166.413567
164,2.7540000000000004,0.8803448275862069,5.179059397054609,5.177182488025493,6.843377252932828,8.400159943017018,7.621768597974922,-0.9384545145580887,0.028000000000000025,5175544898.564932
165,2.774,0.8826436781609195,5.179091486885489,5.1783904256557864,6.831336976241692,8.089110285328365,7.460223630785029,-0.350530614850868,0.030000000000000027,5175591298.468364
166,2.794,0.8849425287356322,5.179129507665056,5.177888002687577,6.818391097885042,7.456065476452347,7.1372282871686945,-0.6207524887399813,0.03200000000000003,5175669139.272766
167,2.814,0.8872413793103449,5.179173577462344,5.178952366422005,6.779509087427832,6.910275948413231,6.844892517920531,-0.11060552016988368,0.03400000000000003,5175586448.629537
168,2.8339999999999996,0.8895402298850574,5.179202381532919,5.179109395888009,6.750765928271537,6.612632098427486,6.681699013349512,-0.04649282245463837,0.03600000000000003,5175652075.43863
169,2.854,0.8918390804597701,5.179251015048094,5.17972070870144,6.7803416479600385,7.1956719762375645,6.988006812098801,0.23484682667276502,0.038000000000000034,5175687455.136937
170,2.8739999999999997,0.8941379310344827,5.179243267546676,5.178656794532942,6.799297015147701,8.888880434831224,7.844088724989462,-0.2932365068668332,0.040000000000000036,5175726673.402738
