,RawErrorSS,RawErrorFPA,DiscrErrorSS,DiscrErrorFPA,TimesSS,TimesFPA,ROFreqSS,ROFreqFPA
0,0.44586181640625,0.4321746826171875,0.4453437508340022,0.4309675502214193,100.0,100.0,5174687050.420727,5174687050.420727
1,0.425750732421875,0.4059906005859375,0.42476364555182927,0.40676346542055153,109.99999999999999,109.99999999999999,5174687050.420727,5174687050.420727
2,0.4027862548828125,0.3634490966796875,0.40288462373029665,0.364092847989403,119.99999999999999,119.99999999999999,5174687050.420727,5174687050.420727
3,0.3745269775390625,0.32598876953125,0.37565092677143097,0.32544234641070185,130.0,130.0,5174687050.420727,5174687050.420727
4,0.3463134765625,0.2803802490234375,0.34641603948292876,0.2774472831203785,139.99999999999997,139.99999999999997,5174687050.420727,5174687050.420727
5,0.323944091796875,0.245941162109375,0.3237808689757124,0.24179872950924058,150.0,150.0,5174687050.420727,5174687050.420727
6,0.2967987060546875,0.2134857177734375,0.294306856298285,0.20488582475187725,160.0,160.0,5174687050.420727,5174687050.420727
7,0.277099609375,0.1842041015625,0.2734211295693249,0.17417411444862121,170.0,170.0,5174687050.420727,5174687050.420727
8,0.2548675537109375,0.1627349853515625,0.24968898267676198,0.14103483524100918,180.0,180.0,5174687050.420727,5174687050.420727
9,0.240814208984375,0.14320373535156272,0.23339163037624494,0.11823322353270425,189.99999999999997,189.99999999999997,5174687050.420727,5174687050.420727
10,0.2006988525390625,0.12054443359374989,0.19436785933079276,0.08743395678571958,200.0,200.0,5174687050.420727,5174687050.420727
11,0.1984558105468749,0.1005706787109375,0.1865528326083933,0.0712264267241925,210.0,210.0,5174687050.420727,5174687050.420727
12,0.1819763183593749,0.08778381347656228,0.16426668730038932,0.0529593217875581,220.0,220.0,5174687050.420727,5174687050.420727
13,0.1557769775390625,0.09095764160156239,0.14362918887920356,0.04249062508742364,230.0,230.0,5174687050.420727,5174687050.420727
14,0.1527404785156249,0.079010009765625,0.12927466574992744,0.030107157649027,240.00000000000003,240.00000000000003,5174687050.420727,5174687050.420727
15,0.1469573974609376,0.0646820068359375,0.11950455485629277,0.023695794853731408,250.0,250.0,5174687050.420727,5174687050.420727
16,0.1285247802734375,0.07000732421875,0.10056151658248443,0.016734427737446572,260.0,260.0,5174687050.420727,5174687050.420727
17,0.1217193603515625,0.06947326660156239,0.08718685549588268,0.014268406674311299,270.0,270.0,5174687050.420727,5174687050.420727
18,0.10725402832031272,0.05662536621093739,0.07582669765421907,0.009364306727028269,279.99999999999994,279.99999999999994,5174687050.420727,5174687050.420727
19,0.09165954589843739,0.0682220458984375,0.06428917805492743,0.007106559688022753,290.0,290.0,5174687050.420727,5174687050.420727
20,0.0841827392578125,0.0648956298828125,0.053828573379937995,0.005357280351137178,300.0,300.0,5174687050.420727,5174687050.420727
21,0.1017303466796875,0.0655364990234375,0.05096010805131357,0.004085354011837791,310.0,310.0,5174687050.420727,5174687050.420727
22,0.074493408203125,0.0697174072265625,0.04106146619032027,0.003068681195123458,320.0,320.0,5174687050.420727,5174687050.420727
23,0.0727386474609375,0.06854248046875,0.036961582427683,0.002336659066856821,330.0,330.0,5174687050.420727,5174687050.420727
24,0.0662841796875,0.06271362304687489,0.033346875974103414,0.0016982766602794354,340.0,340.0,5174687050.420727,5174687050.420727
25,0.0670928955078125,0.05754089355468739,0.027687316956524054,0.001294413491630408,350.0,350.0,5174687050.420727,5174687050.420727
26,0.06442260742187489,0.0603485107421875,0.024529485523133228,0.0009436642254494062,360.0,360.0,5174687050.420727,5174687050.420727
27,0.06005859375000022,,0.020234632648792484,,370.0,,5174687050.420727,
28,0.073638916015625,,0.018063120448664434,,380.0,,5174687050.420727,
29,0.07838439941406239,,0.01668237193332426,,390.0,,5174687050.420727,
30,0.05690002441406261,,0.014253309321550514,,400.0,,5174687050.420727,
